group,run_id,A,P,rho_U,case,source,target,lag,mean_alpha,std_alpha,ground_truth_alpha,stable,true_link,link_type
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,U,X,1,0.7960745096206665,0.009308412671089172,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,X,X,1,0.6043310165405273,0.009460189379751682,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,U,Y,2,0.8144108653068542,0.016947263851761818,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,Y,Y,1,0.5010360479354858,0.005512195639312267,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,U,Z,3,0.050348199903964996,0.014848998747766018,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,X,Z,1,0.745310366153717,0.012385878711938858,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,Z,Z,1,0.4153834879398346,0.0045141661539673805,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,X,1,0.6508403420448303,0.016391143202781677,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,Y,1,0.7294563055038452,0.01675466261804104,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,Y,2,-0.44235238432884216,0.018196292221546173,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,Y,Y,1,0.500992476940155,0.009652502834796906,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,Z,1,0.7592767477035522,0.024470848962664604,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,Z,Z,1,0.42024287581443787,0.00936947576701641,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,X,1,0.5662537813186646,0.034298405051231384,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,Y,1,0.7091699838638306,0.02497549168765545,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,Y,2,-0.47710567712783813,0.012795859947800636,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,Y,Y,1,0.5182405710220337,0.0175645612180233,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,Z,1,0.6422587037086487,0.025066064670681953,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,Z,3,0.04772988706827164,0.011673436500132084,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,Z,Z,1,0.4499220848083496,0.012572585605084896,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,U,U,1,0.28647568821907043,0.012862037867307663,0.30000001192092896,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,U,X,1,0.802046000957489,0.006762481760233641,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,X,X,1,0.5976094007492065,0.008801981806755066,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,U,Y,2,0.8049057126045227,0.009416552260518074,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,Y,Y,1,0.5051717162132263,0.0038952170871198177,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,U,Z,3,0.08643138408660889,0.015367851592600346,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,X,Z,1,0.7273686528205872,0.016633737832307816,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,Z,Z,1,0.4136825501918793,0.00447575468569994,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,X,X,1,0.8551289439201355,0.015562986023724079,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,X,X,2,-0.09600532054901123,0.005648114252835512,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,X,Y,1,0.7274540662765503,0.017228571698069572,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,X,Y,2,-0.3667404353618622,0.015011965297162533,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,Y,Y,1,0.5082963705062866,0.009983822703361511,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,X,Z,1,0.7564313411712646,0.023949433118104935,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,Z,Z,1,0.4152224063873291,0.009634535759687424,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,X,X,1,0.813352108001709,0.06468580663204193,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,X,X,2,-0.11842818558216095,0.015072868205606937,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,X,Y,1,0.7418848872184753,0.04120864346623421,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,X,Y,2,-0.40088462829589844,0.01695418357849121,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,Y,Y,1,0.516572892665863,0.024408981204032898,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,X,Z,1,0.6836029291152954,0.03911582753062248,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,Z,Z,1,0.432982861995697,0.022789258509874344,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,U,1,0.6876802444458008,0.010881335474550724,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,X,1,0.829081654548645,0.005060418043285608,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,X,X,1,0.5985870361328125,0.005546608939766884,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,Y,2,0.8210054636001587,0.010369743220508099,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,Y,Y,1,0.5165606737136841,0.012134335935115814,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,Z,3,0.1470315307378769,0.008677090518176556,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,X,Z,1,0.6515916585922241,0.032754085958004,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,Z,Z,1,0.4186319410800934,0.005678375251591206,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,1,1.1097732782363892,0.021312259137630463,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,2,-0.21597547829151154,0.012550209648907185,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,3,-0.043941594660282135,0.008644302375614643,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,1,0.7493993639945984,0.01688299886882305,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,2,-0.27099335193634033,0.02285400964319706,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,3,-0.04387926310300827,0.010954324156045914,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,Y,Y,1,0.48790884017944336,0.010044347494840622,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Z,1,0.6543537378311157,0.024051671847701073,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,Z,Z,1,0.4152444899082184,0.006489044986665249,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,X,1,1.1443068981170654,0.037668004631996155,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,X,2,-0.22695985436439514,0.014164203777909279,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,1,0.765518069267273,0.01650294102728367,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,2,-0.35028722882270813,0.03198825940489769,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,3,-0.04668285697698593,0.010675756260752678,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Y,Y,1,0.517141580581665,0.01493254117667675,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Z,1,0.6269828081130981,0.012324318289756775,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Y,Z,4,-0.04511498287320137,0.012657040730118752,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Z,Z,1,0.43732672929763794,0.012136252596974373,0.4000000059604645,True,True,true_positive
