case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,model,W,MSE,MAE,coef_mean,coef_std,coef_corr_true_a,coef_rmse_true_a,true_a_mean,param_a_min,param_a_max,param_t0_frac,param_s_frac
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,0.0,global_var,,0.018875950397439785,0.10043134385399027,0.4692244618904186,0.0,,0.1795429953182203,0.4999921382580616,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,0.0,sliding_var,20.0,0.10428783963487807,0.22564441864005813,0.22033930131746288,0.5146392712984893,0.18564764286372365,0.5835118880332625,0.4999921382580616,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,0.0,sliding_var,100.0,0.02408873349525828,0.11333296526255986,0.5338522049277127,0.3334526343358622,0.43291505322239265,0.3041958315946755,0.4999921382580616,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,0.0,global_var,,0.26385288894776154,0.26470051495306335,0.4990176135082316,0.0,,0.1768897593340623,0.4999921382580616,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,0.0,sliding_var,20.0,1.6848331848007982,0.5839801572427498,0.49680529098374065,0.1806563412067561,0.9752179764546256,0.04009803673477974,0.4999921382580616,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,0.0,sliding_var,100.0,0.34657665446441843,0.29058927475294294,0.5017260258682056,0.16837869603092503,0.8197129831025644,0.10398921195390835,0.4999921382580616,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.1,500.0,0.0,global_var,,0.018846798989690536,0.10030862557719533,0.46963468381036005,0.0,,0.0769942038024034,0.49999685530322463,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.1,500.0,0.0,sliding_var,20.0,0.10388331786206458,0.22544445305256217,0.21895820808749278,0.5068347727033612,0.10874359820368687,0.5770682969413017,0.49999685530322463,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.1,500.0,0.0,sliding_var,100.0,0.024082568585480496,0.11331663464052188,0.5330403272032541,0.28779593762898353,0.2147118771763938,0.2831265531218804,0.49999685530322463,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.1,500.0,0.0,global_var,,0.25712759008319297,0.24754410492021542,0.4989853994094001,0.0,,0.07076205907426003,0.49999685530322463,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.1,500.0,0.0,sliding_var,20.0,1.685758352558689,0.5850562589822961,0.4966311224004302,0.07961359266809123,0.8956780242252188,0.035563791951443005,0.49999685530322463,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.1,500.0,0.0,sliding_var,100.0,0.3348658772782917,0.2773459115888747,0.5012128725152573,0.06806844917070493,0.8120466262513332,0.04264910276446236,0.49999685530322463,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.4,500.0,0.0,global_var,,0.01892370945002507,0.10063383967088821,0.46872505275570536,0.0,,0.28474070847705624,0.4999874212128985,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.4,500.0,0.0,sliding_var,20.0,0.10499388814226437,0.22618651237283946,0.22072383393296746,0.5247405679065105,0.257244323129562,0.5974728414683467,0.4999874212128985,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.4,500.0,0.0,sliding_var,100.0,0.024104138527131447,0.11337272513380195,0.5346472621188467,0.3995825114939572,0.5679087835352497,0.33540186826201374,0.4999874212128985,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.4,500.0,0.0,global_var,,0.2762252899273065,0.2830845024202987,0.4990799928064507,0.0,,0.28302077451801205,0.4999874212128985,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.4,500.0,0.0,sliding_var,20.0,1.7015159905674655,0.5850252131102127,0.4971153731363682,0.28468849330804097,0.9863586263253997,0.04699869011130957,0.4999874212128985,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.4,500.0,0.0,sliding_var,100.0,0.35812443081304973,0.3037444495611316,0.5018562741820692,0.26911853234170413,0.8212675228658312,0.16559238658953576,0.4999874212128985,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,100.0,0.0,global_var,,0.018880072759713668,0.10049119643867307,0.46993263306908994,0.0,,0.17941288893583357,0.4999609389890587,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,100.0,0.0,sliding_var,20.0,0.10402069360651808,0.2256557526530371,0.213568189914119,0.5113805763840843,0.06589983124810553,0.6023557101244701,0.4999609389890587,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,100.0,0.0,sliding_var,100.0,0.024136557169380395,0.11349536741225272,0.5298109563665672,0.2814013409034327,-0.05586439824716945,0.3419148902590788,0.4999609389890587,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,100.0,0.0,global_var,,0.26406958559095095,0.2649308799634393,0.4993912376897721,0.0,,0.17688304079093883,0.4999609389890587,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,100.0,0.0,sliding_var,20.0,1.8522449625068,0.6185700208500037,0.49462750030344255,0.17607951071122344,0.8368402521188238,0.10095136408686008,0.4999609389890587,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,100.0,0.0,sliding_var,100.0,0.34663459834157556,0.3052290323450038,0.4958514798787835,0.032071239728232115,-0.3299482336011907,0.18993549279380229,0.4999609389890587,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,2000.0,0.0,global_var,,0.01887603078647281,0.10041473705221626,0.47297238570695865,0.0,,0.17893991288513553,0.4999980340794889,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,2000.0,0.0,sliding_var,20.0,0.1035080961065725,0.22540004302391037,0.21378533720339818,0.5074402139667864,0.09661767590327368,0.5943865339753569,0.4999980340794889,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,2000.0,0.0,sliding_var,100.0,0.024106714187295285,0.11338255264216793,0.5319397639113529,0.3262991888546259,0.510715854600045,0.28249972961296244,0.4999980340794889,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,2000.0,0.0,global_var,,0.2638385175236285,0.264932188611829,0.5022030523526708,0.0,,0.17690101429604443,0.4999980340794889,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,2000.0,0.0,sliding_var,20.0,1.6878913084196725,0.585546878863939,0.49638822239120484,0.17855451525720137,0.9806590293463716,0.03517548506886293,0.4999980340794889,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,2000.0,0.0,sliding_var,100.0,0.33310322739933124,0.27534548304612605,0.5008522306807022,0.17665243972369568,0.9866481024749031,0.028898440841074045,0.4999980340794889,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,1.5707963267948966,global_var,,0.018869888631748755,0.10042093575011894,0.4694732202708583,0.0,,0.17923100427199673,0.49968725709244466,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,1.5707963267948966,sliding_var,20.0,0.10455580659532371,0.22557709740737,0.2183676224750367,0.5114638593677702,0.13822446878044511,0.5889864874294578,0.49968725709244466,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,1.5707963267948966,sliding_var,100.0,0.024087662442755793,0.1133620486263563,0.5308331085500562,0.3082625322641148,0.33474287559190985,0.30121028583212045,0.49968725709244466,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,1.5707963267948966,global_var,,0.2639462093645658,0.26463661574107716,0.49838260108317356,0.0,,0.17667078705489161,0.49968725709244466,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,1.5707963267948966,sliding_var,20.0,1.699101256524458,0.5868389863211557,0.4960055294298935,0.1787872935471522,0.9745751332237941,0.04029740145223515,0.49968725709244466,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,1.5707963267948966,sliding_var,100.0,0.35000269918238663,0.29182470797713894,0.5004162580027172,0.1662691413689595,0.8169765639913065,0.10421137146544249,0.49968725709244466,,,,
monotonic_drift,default_amin_0p10_amax_0p90,low_snr,0.05,0.1,0.15,0.2,mse,,,,,global_var,,0.01899642015678621,0.10092398671284304,0.38669443935968806,0.0,,0.4358697859133003,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,low_snr,0.05,0.1,0.15,0.2,mse,,,,,sliding_var,20.0,0.10685655262543678,0.22945329006896037,0.33278206212078665,0.5223343667680116,0.03738600756396841,0.7145529770770706,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,low_snr,0.05,0.1,0.15,0.2,mse,,,,,sliding_var,100.0,0.024065949356175315,0.11321548643296371,0.850543406902505,0.28478832839985463,0.3091495304091338,0.2757098516774981,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,global_var,,0.2976750650723482,0.3121867337997607,0.4151824209930107,0.0,,0.4075529709389384,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,sliding_var,20.0,1.751600224771336,0.5949923370157477,0.8150893867641769,0.05831968203036333,0.7967744873625798,0.03559506492867479,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,sliding_var,100.0,0.33052392176486506,0.2728491689535447,0.8189511840063071,0.047661102877576564,0.9893884100985763,0.00709458673538397,0.82011600580029,0.1,0.9,,
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.01884752616044015,0.10030570441431508,0.5767215684607889,0.0,,0.0883245926895456,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10385021998312347,0.22572358350727828,0.23633613278848284,0.5072866247535295,0.06498778837398805,0.6002349439938726,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.024079837998903942,0.11329086611545286,0.590703949967584,0.2736823229433805,0.15513555787502342,0.27610761075719814,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.2585896046032791,0.25118626404275884,0.6045042181203333,0.0,,0.09898954095793519,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.693301522187174,0.5868398061627751,0.5514871225282535,0.09163716715242684,0.9265565005292976,0.03461703265411977,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.33033871112187807,0.2727452534785873,0.5589226688245125,0.08478045013537983,0.9966585788941303,0.008196666372961734,0.5546606790530988,,,0.6,0.3
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.018909443730959007,0.10050029467760785,0.4095610836947474,0.0,,0.2795139235989753,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10237716787995413,0.2225896449171007,0.07946054709044147,0.4915793601958695,0.04674528257317228,0.4937399991755699,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.02411825585366399,0.11348226671769986,0.1649507979729879,0.27304435367339214,0.02117001867955653,0.2758551741778151,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.2804045175682731,0.2926906256857035,0.43650471904098626,0.0,,0.30633885025330765,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.5114570823552873,0.5576517338589884,0.13103043377731807,0.04308605732338388,0.6548483865977809,0.032569907491452506,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.32842463657482945,0.2720032442508733,0.13336663584551223,0.02866391354619945,0.9703076118709846,0.007216128094563621,0.1313970941192648,,,0.5,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.019013473674248778,0.10097109829199605,0.24408264537021263,0.0,,0.45408831034938896,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10492425598296015,0.2271140124525023,0.27872129765819526,0.5151155325746517,0.08865383110551735,0.6557433320977303,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.024076693150809403,0.1132518891480439,0.7141402029200322,0.2823273991204831,0.30758009963631683,0.27633144025371936,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.30134318144446476,0.31189022130182403,0.27327529300281567,0.0,,0.4264010545363683,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.7114399751361844,0.5900652412246888,0.6728130944042863,0.14206850104191118,0.9695046568659538,0.035023109313132024,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.3306305761845647,0.2728518148026455,0.6822327327948536,0.13659371793111838,0.9987459380302821,0.009606997115782676,0.6762213345286999,,,0.8,0.15
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,global_var,,0.019017044535972482,0.10101455180276886,-0.031995115612884484,0.0,,0.42573152926508534,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,sliding_var,20.0,0.10375596400842574,0.22397668052674286,0.040671241382251574,0.5286453620164515,0.3430434806765839,0.5543649708578632,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,sliding_var,100.0,0.02418109109202221,0.11362591512393871,0.035774467135045396,0.5052180071984935,0.6702112671517537,0.3863029146934917,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,global_var,,0.30160724734079414,0.3080714777437545,-0.0006912256766194794,0.0,,0.4245295121368398,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,sliding_var,20.0,1.7202381365503931,0.5932253148543128,-0.0014721546493094667,0.4250261970814537,0.9905327007292662,0.058466773622109385,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,sliding_var,100.0,0.37255596102588473,0.3210560988609647,0.0033049284943670577,0.4018393215099718,0.8223237300430312,0.24726710549437364,-1.886818065222354e-05,,,,
